,,,"GGUN-FL Fluorometer #323  - Signals in mV ",,,,,,,,,,
,,,"------","-------------","---------","-------------","--",,,,,,
"#","Time","R","Tracer 1","Tracer 2","Tracer 3","Turbidity  ","Baseline","Battery V","T","Conductiv","temps","Débit  (m3/s)","Concentration Fluo (kg/m3)"
83,"22/04/24-07:07:02",0,9.03,1.38,2.14,16.16,13.92,13,6.68,0.109,24.3061666666668,0.196808630238068,-0.00000000216200000000005
84,"22/04/24-07:22:02",0,9.04,1.37,2.12,16.15,13.95,13,6.68,0.108,24.3165833333334,0.200712252605594,-0.00000000162150000000006
85,"22/04/24-07:37:02",0,9.06,1.35,2.14,16.14,13.91,13,6.68,0.097,24.3270000000001,0.198734246621041,-0.000000000540499999999989
86,"22/04/24-07:52:02",0,9.03,1.38,2.15,16.24,13.94,13,6.68,0.106,24.3374166666668,0.200712252605594,-0.00000000216200000000005
87,"22/04/24-08:07:02",0,8.99,1.38,2.12,16.16,13.97,13,6.68,0.1,24.3478333333334,0.198734246621041,-0.000000004324
88,"22/04/24-08:22:02",0,9.05,1.39,2.14,16.13,13.91,13,6.68,0.114,24.3582500000001,0.200712252605594,-0.00000000108099999999998
89,"22/04/24-08:37:02",0,9.03,1.36,2.13,16.16,13.94,13,6.68,0.106,24.3686666666668,0.200712252605594,-0.00000000216200000000005
90,"22/04/24-08:52:02",0,9.05,1.36,2.14,16.18,13.92,13,6.68,0.108,24.3790833333334,0.196808630238068,-0.00000000108099999999998
91,"22/04/24-09:07:02",0,9.03,1.38,2.15,16.18,13.92,13,6.68,0.105,24.3895000000001,0.193132455490245,-0.00000000216200000000005
92,"22/04/24-09:22:02",0,9.06,1.36,2.12,16.2,13.93,13,6.68,0.108,24.3999166666668,0.194939835423792,-0.000000000540499999999989
93,"22/04/24-09:37:02",0,9.06,1.37,2.15,16.17,13.92,13,6.68,0.097,24.4103333333334,0.191391245094263,-0.000000000540499999999989
94,"22/04/24-09:52:02",0,9.07,1.37,2.16,16.15,13.92,13,6.68,0.108,24.4207500000001,0.191391245094263,0
95,"22/04/24-10:07:01",0,9.12,1.37,2.15,16.17,13.89,13,6.68,0.107,24.4311666666668,0.189721120237664,0.00000000270249999999994
96,"22/04/24-10:22:01",0,9.1,1.36,2.14,16.19,13.89,13,6.68,0.109,24.4415833333334,0.188127158267056,0.00000000162149999999997
97,"22/04/24-10:37:01",0,9.13,1.38,2.13,16.2,13.86,13,6.68,0.104,24.4520000000001,0.189721120237664,0.00000000324300000000003
98,"22/04/24-10:52:01",0,9.1,1.37,2.14,16.18,13.9,13,6.68,0.101,24.4624166666668,0.188127158267051,0.00000000162149999999997
99,"22/04/24-11:07:01",0,9.18,1.38,2.14,16.22,13.84,13,6.68,0.108,24.4728333333334,0.18661459787399,0.00000000594549999999997
100,"22/04/24-11:22:01",0,9.11,1.38,2.14,16.21,13.92,13,6.68,0.11,24.4832500000001,0.188127158267051,0.00000000216199999999995
101,"22/04/24-11:37:01",0,9.08,1.37,2.15,16.19,13.94,13,6.68,0.112,24.4936666666668,0.186614597874003,0.000000000540499999999989
102,"22/04/24-11:52:01",0,9.12,1.37,2.14,16.19,13.9,13,6.68,0.106,24.5040833333335,0.183855443311024,0.00000000270249999999994
103,"22/04/24-12:07:01",0,9.1,1.37,2.14,16.2,13.92,13,6.68,0.118,24.5145000000001,0.183855443311024,0.00000000162149999999997
104,"22/04/24-12:22:01",0,9.11,1.39,2.15,16.34,13.92,13,6.68,0.104,24.5249166666668,0.181488792978687,0.00000000216199999999995
105,"22/04/24-12:37:01",0,9.13,1.39,2.16,16.18,13.92,13,6.68,0.105,24.5353333333335,0.181488792978687,0.00000000324300000000003
106,"22/04/24-12:52:01",0,9.1,1.4,2.14,16.24,13.93,13,6.68,0.121,24.5457500000001,0.180467467917191,0.00000000162149999999997
107,"22/04/24-13:07:00",0,9.1,1.38,2.13,16.28,13.94,13.01,6.68,0.113,24.5561666666668,0.180467467917191,0.00000000162149999999997
108,"22/04/24-13:22:00",0,9.12,1.37,2.14,16.2,13.91,13.01,6.68,0.112,24.5665833333335,0.181488792978687,0.00000000270249999999994
109,"22/04/24-13:37:00",0,9.14,1.4,2.15,16.25,13.92,13.01,6.68,0.105,24.5770000000001,0.183855443311046,0.00000000378350000000002
110,"22/04/24-13:52:00",0,9.13,1.39,2.18,16.28,13.92,13.01,6.68,0.109,24.5874166666668,0.181488792978692,0.00000000324300000000003
111,"22/04/24-14:07:00",0,9.14,1.37,2.15,16.24,13.93,13.01,6.68,0.105,24.5978333333335,0.180467467917188,0.00000000378350000000002
112,"22/04/24-14:22:00",0,9.16,1.39,2.15,16.28,13.91,13.01,6.68,0.105,24.6082500000001,0.179562364824958,0.00000000486449999999999
113,"22/04/24-14:37:00",0,9.17,1.4,2.15,16.26,13.91,13.01,6.68,0.105,24.6186666666668,0.17877985180767,0.00000000540499999999998
114,"22/04/24-14:52:00",0,9.15,1.38,2.15,16.24,13.92,13.01,6.68,0.109,24.6290833333335,0.177608875145251,0.000000004324
115,"22/04/24-15:07:00",0,9.21,1.39,2.17,16.25,13.9,13.01,6.68,0.109,24.6395000000001,0.177008709673227,0.00000000756700000000003
116,"22/04/24-15:22:00",0,9.15,1.4,2.14,16.46,13.92,13.01,6.68,0.117,24.6499166666668,0.177036108653007,0.000000004324
117,"22/04/24-15:37:00",0,9.15,1.36,2.16,16.24,13.92,13.01,6.68,0.101,24.6603333333335,0.176940315687249,0.000000004324
118,"22/04/24-15:52:00",0,9.22,1.38,2.17,16.21,13.86,13.01,6.68,0.104,24.6707500000001,0.177008709673227,0.00000000810750000000002
119,"22/04/24-16:06:59",0,9.14,1.4,2.15,16.25,13.92,13.01,6.68,0.105,24.6811666666668,0.177008709673227,0.00000000378350000000002
120,"22/04/24-16:21:59",0,9.17,1.39,2.17,16.26,13.91,13.01,6.68,0.103,24.6915833333335,0.17723395443593,0.00000000540499999999998
121,"22/04/24-16:36:59",0,9.18,1.38,2.17,16.28,13.9,13.01,6.68,0.114,24.7020000000001,0.178126458315952,0.00000000594549999999997
122,"22/04/24-16:51:59",0,9.16,1.37,2.19,16.31,13.93,13.01,6.68,0.105,24.7124166666668,0.17877985180767,0.00000000486449999999999
123,"22/04/24-17:06:59",0,9.19,1.37,2.18,16.25,13.9,13.01,6.68,0.113,24.7228333333335,0.179562364824947,0.00000000648599999999996
124,"22/04/24-17:21:59",0,9.12,1.4,2.13,16.28,13.93,13.01,6.68,0.106,24.7332500000001,0.179562364824958,0.00000000270249999999994
125,"22/04/24-17:36:59",0,9.16,1.39,2.17,16.19,13.89,13.01,6.68,0.106,24.7436666666668,0.178126458315952,0.00000000486449999999999
126,"22/04/24-17:51:59",0,9.17,1.38,2.16,16.23,13.91,13.01,6.68,0.106,24.7540833333335,0.17877985180767,0.00000000540499999999998
127,"22/04/24-18:06:59",0,9.13,1.4,2.15,16.22,13.92,13.01,6.68,0.098,24.7645000000001,0.17877985180767,0.00000000324300000000003
128,"22/04/24-18:21:59",0,9.14,1.39,2.16,16.26,13.92,13.01,6.68,0.11,24.7749166666668,0.178126458315952,0.00000000378350000000002
129,"22/04/24-18:36:59",0,9.14,1.36,2.17,16.19,13.91,13.01,6.68,0.106,24.7853333333335,0.17877985180767,0.00000000378350000000002
130,"22/04/24-18:51:59",0,9.17,1.39,2.14,16.21,13.9,13.01,6.68,0.103,24.7957500000002,0.17877985180767,0.00000000540499999999998
131,"22/04/24-19:06:59",0,9.11,1.39,2.15,16.19,13.93,13.01,6.68,0.106,24.8061666666668,0.178126458315952,0.00000000216199999999995
132,"22/04/24-19:21:58",0,9.14,1.38,2.17,16.22,13.92,13.01,6.68,0.102,24.8165833333335,0.178126458315958,0.00000000378350000000002
133,"22/04/24-19:36:58",0,9.14,1.37,2.15,16.27,13.91,13.01,6.68,0.103,24.8270000000002,0.17723395443593,0.00000000378350000000002
134,"22/04/24-19:51:58",0,9.13,1.4,2.16,16.18,13.9,13.01,6.68,0.101,24.8374166666668,0.177008709673227,0.00000000324300000000003
135,"22/04/24-20:06:58",0,9.11,1.36,2.13,16.19,13.95,13.01,6.68,0.108,24.8478333333335,0.176940315687255,0.00000000216199999999995
136,"22/04/24-20:21:58",0,9.07,1.38,2.16,16.15,13.94,13.01,6.68,0.095,24.8582500000002,0.177750406864108,0
137,"22/04/24-20:36:58",0,9.1,1.39,2.15,16.18,13.92,13.01,6.68,0.104,24.8686666666668,0.178384391183869,0.00000000162149999999997
138,"22/04/24-20:51:58",0,9.11,1.37,2.15,16.18,13.91,13.01,6.68,0.105,24.8790833333335,0.178384391183869,0.00000000216199999999995
139,"22/04/24-21:06:58",0,9.13,1.37,2.15,16.3,13.91,13.01,6.68,0.116,24.8895000000002,0.178384391183869,0.00000000324300000000003
140,"22/04/24-21:21:58",0,9.11,1.38,2.14,16.17,13.91,13.01,6.68,0.107,24.8999166666668,0.177750406864117,0.00000000216199999999995
141,"22/04/24-21:36:58",0,9.11,1.38,2.15,16.16,13.9,13,6.68,0.101,24.9103333333335,0.179213520604172,0.00000000216199999999995
142,"22/04/24-21:51:58",0,9.08,1.38,2.12,16.21,13.93,13.01,6.68,0.109,24.9207500000002,0.180245938024441,0.000000000540499999999989
